date,CDOM,Chl_a,Color,Cya,DOC,Turb,WQI,WQI_2
18-02-2017,22.72652101600503,5.903828550577079,190.9011618307565,86.1964777296601,38.50178115789645,3.311123920925543,0.4790246936431698,67.73779181586411
19-02-2017,22.39398588067947,7.097869060063827,186.7591256243692,96.21435954697627,38.06318227684837,3.6255345464079696,0.4655562798807904,66.80433780943326
20-02-2017,22.06145074535391,8.291909569550574,182.61708941798193,106.23224136429243,37.624583395800286,3.9399451718903964,0.452087866118411,65.87088380300241
21-02-2017,21.72891561002835,9.485950079037321,178.47505321159463,116.25012318160859,37.18598451475221,4.254355797372823,0.4386194523560316,64.93742979657156
22-02-2017,21.396380474702788,10.67999058852407,174.33301700520732,126.26800499892475,36.74738563370413,4.56876642285525,0.4251510385936522,64.00397579014071
23-02-2017,21.06384533937723,11.874031098010818,170.19098079882002,136.28588681624092,36.30878675265605,4.883177048337676,0.4116826248312728,63.07052178370986
24-02-2017,20.73131020405167,13.068071607497565,166.04894459243275,146.30376863355707,35.87018787160796,5.197587673820102,0.39821421106889343,62.13706777727901
25-02-2017,20.39877506872611,14.262112116984312,161.90690838604544,156.32165045087325,35.43158899055988,5.51199829930253,0.38474579730651404,61.20361377084815
26-02-2017,20.06623993340055,15.45615262647106,157.76487217965814,166.3395322681894,34.9929901095118,5.826408924784955,0.3712773835441346,60.2701597644173
27-02-2017,19.73370479807499,16.650193135957807,153.62283597327087,176.35741408550558,34.554391228463714,6.140819550267382,0.3578089697817552,59.33670575798645
28-02-2017,19.401169662749428,17.844233645444554,149.48079976688356,186.37529590282173,34.115792347415635,6.455230175749809,0.3443405560193758,58.4032517515556
01-03-2017,19.552474715308115,17.40238463379512,151.37645905419942,183.74862323547765,34.31486626745463,6.343607210884288,0.35014233262716854,58.71825048600684
02-03-2017,19.703779767866806,16.960535622145684,153.27211834151524,181.12195056813357,34.51394018749363,6.231984246018769,0.35594410923496134,59.033249220458075
